3933 1752 2709    78 100 137  
0 0 2651    123 257 314  
3899 1731 2725    86 147 170  
3924 0 0    190 137 36  
3927 1722 2682    90 74 79  
3919 1684 2653    123 160 231  
3896 0 0    93 90 41  
3944 1691 2645    95 142 139  
3919 0 0    116 109 55  
3936 1693 2645    117 132 224  
3921 7409 8596    152 207 64  
3915 1681 0    88 125 262  
0 1711 2639    103 84 30  
3922 1675 2642    83 94 157  
3940 0 0    147 93 39  
0 0 0    33 23 37  
3929 1714 2674    113 128 81  
3955 1683 2621    132 168 26  
4016 1691 2561    100 175 241  
3925 1687 0    141 123 215  
3933 1677 2632    96 93 250  
3939 1724 2673    135 105 89  
3914 0 0    100 165 35  
3942 1685 2635    103 64 157  
3950 1706 2642    152 100 172  
3912 1667 0    62 99 153  
3933 0 0    83 117 45  
3914 1681 2654    65 109 160  
3912 1661 2639    73 101 166  
3938 1685 2632    101 84 172  
3916 0 0    82 87 39  
3926 1699 2663    86 113 161  
3964 0 0    71 81 52  
3951 0 0    86 92 39  
3908 1736 2715    55 78 227  
0 1690 2660    93 93 126  
0 1691 6714    97 80 51  
3908 0 0    76 110 34  
3905 1678 2659    72 114 121  
3925 0 0    104 114 36  
3903 1679 2662    89 126 138  
3892 0 0    57 56 42  
3910 0 0    53 85 50  
3923 1687 2651    144 200 172  
3940 1693 2640    120 87 276  
0 0 2651    34 141 247  
3921 1665 2637    47 93 187  
3952 1733 2669    182 146 163  
3941 1684 2631    73 135 191  
3926 1684 0    175 106 176  
3900 1659 2656    89 95 339  
3921 1696 2663    89 134 121  
3901 0 0    126 122 65  
3919 1678 2645    98 94 147  
3921 0 0    54 116 38  
3946 1693 2636    168 53 162  
3892 0 0    71 154 51  
3939 1699 2649    130 86 143  
3915 0 0    69 136 67  
3923 1677 2640    69 136 186  
0 2930 14267    95 74 54  
3925 0 0    71 110 51  
3897 1743 2733    97 96 140  
3927 1679 2648    109 144 183  
3932 0 0    76 77 34  
3909 1664 2641    68 91 142  
3928 0 0    83 95 40  
3924 1696 2660    96 78 75  
3920 1687 0    82 90 154  
3923 0 0    95 120 166  
3921 0 0    105 120 33  
3944 1665 2609    74 55 221  
3935 1671 2623    50 67 255  
15569 7399 0    117 196 157  
3859 0 0    76 85 155  
3921 1677 2643    83 113 150  
3957 1694 2620    98 106 257  
3875 0 0    72 90 171  
3939 1727 0    165 74 83  
3921 1673 0    82 87 147  
0 1685 14311    140 112 41  
3968 1687 2606    154 98 180  
3896 1674 2665    79 135 135  
3947 1702 2652    74 67 111  
3909 0 0    108 168 39  
3920 1738 2712    127 145 181  
0 0 2680    87 98 83  
3911 0 0    78 105 49  
3935 1685 2637    115 118 130  
3961 1703 2632    206 289 261  
3909 0 0    67 118 39  
3928 0 0    101 118 54  
0 1727 0    106 149 64  
3937 1691 2652    97 104 125  
3921 1702 2670    183 186 147  
3918 0 0    55 97 40  
3876 0 0    78 56 166  
3937 1687 2635    125 67 182  
3865 0 0    87 162 38  
3943 1677 2634    119 123 100  
3933 1681 2634    89 126 335  
3915 1674 0    79 98 177  
3917 1745 0    75 141 138  
3891 1664 2663    85 144 177  
0 0 2632    79 71 137  
3927 1679 2638    82 128 132  
3918 0 0    65 110 44  
0 1706 2648    66 134 210  
0 0 0    35 126 38  
3927 0 0    126 130 36  
3954 0 0    78 68 56  
3912 0 0    66 63 43  
3933 1679 2647    62 138 165  
0 0 2622    106 72 156  
3907 0 0    61 79 49  
3923 1691 2654    83 111 100  
3918 1683 2653    71 148 246  
3936 1684 0    111 63 159  
3913 1676 2655    81 155 171  
3902 1655 2641    110 110 185  
3930 1686 2644    81 125 155  
3947 1697 2637    139 70 145  
3919 1685 2654    69 72 136  
3949 0 0    79 87 45  
3931 1711 2669    99 70 83  
0 1711 0    96 108 47  
3921 1689 0    65 126 126  
0 0 14368    143 87 48  
3919 1700 2664    107 129 143  
3902 1691 2678    69 96 84  
3913 0 0    106 105 45  
3938 1702 2653    193 93 414  
3912 1678 2652    52 110 134  
3928 1679 2641    75 84 213  
0 0 0    37 115 38  
3957 1680 2611    96 125 148  
3941 0 0    150 112 38  
